Device Type,Weight,Size,Resolution,PPI,Ethernet,Speed,Generation,Solid State Drive,Laptop Brand,Price,OS,Warranty,Touch,Anti Glare Screen,Camera,Optical Drive,Processor,Brand,RAM,USB Type-C,USB 3.0,USB 2.0,Max Speed
Netbook,1.18,13.4,1920 x 1200 pixels,169,0,2.5,12,1024,ASUS,32994364.500000004,Windows 11 Home,1,1,0,1,0,Intel Core i9,NVIDIA,16 GB LPDDR5,1,0,1,2.5
Netbook,2.2,15.6,1920 x 1080 pixels,141,0,3.0,12,1024,ASUS,22248900.0,Windows 11 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR5,1,2,0,4.7
Netbook,1.86,15.6,1920 x 1080 pixels,141,0,2.3,11,512,MSI,12159589.5,Windows 10 Home,2,0,1,1,0,Intel Core i7,NVIDIA,8 GB DDR4,1,3,0,4.6
Netbook,2.6,15.6,1920 x 1080 pixels,141,1,4.5,12,1024,MSI,15836314.500000002,Windows 11 Home,2,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,2,1,4.5
Netbook,2.46,16.1,1920 x 1080 pixels,137,1,4.6,11,512,HP,20550064.5,Windows 11 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR4,1,3,0,4.6
Netbook,2.3,15.6,1080 x 1920 pixels,141,0,2.9,4,512,ASUS,14629594.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 7,NVIDIA,16 GB DDR4,0,1,2,4.2
Netbook,2.57,15.6,1920 x 1080 pixels,141,1,3.3,12,512,Dell,16026750.000000002,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR5,0,3,1,3.3
Netbook,2.3,15.6,1920 x 1080 pixels,141,1,2.5,10,512,ASUS,10179814.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,1,4.5
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.1,11,512,Lenovo,11782489.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,0,4.4
Netbook,2.5,17.3,1920 x 1080 pixels,170,0,4.7,6,512,ASUS,17840223.900000002,Windows 11 Home,1,0,1,0,0,AMD Ryzen 7,NVIDIA,16 GB DDR5,0,4,0,4.7
Netbook,2.1,15.6,1920 x 1080 pixels,141,1,4.6,5,512,ASUS,18664564.5,Windows 10 Home,1,0,1,0,0,AMD Ryzen 9,NVIDIA,16 GB DDR4,1,3,0,4.6
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.1,11,512,Lenovo,10719067.5,Windows 10 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,0,4.4
Netbook,2.47,16.1,1920 x 1080 pixels,137,1,2.3,11,512,HP,15270664.5,Windows 10 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR4,1,1,0,4.6
Netbook,2.3,15.6,1920 x 1080 pixels,141,1,3.0,4,256,Lenovo,12913789.5,Windows 10 Home,1,0,1,1,0,AMD Ryzen 5,NVIDIA,8 GB DDR4,1,4,0,4.0
Netbook,2.19,15.6,1920 x 1080 pixels,141,1,2.9,4,256,HP,14970870.0,Windows 10 Home,1,0,1,1,0,AMD Ryzen 7,NVIDIA,16 GB DDR4,1,0,1,4.2
Netbook,1.3,13.4,3840 x 2400 pixels,338,0,3.0,5,1024,ASUS,19795864.5,Windows 10 Home,1,1,1,1,0,AMD Ryzen 9,NVIDIA,16 GB LPDDR4X,2,1,1,4.6
Netbook,2.3,15.6,1920 x 1080 pixels,141,0,2.5,10,512,Acer,9048514.5,Windows 10 Home,1,0,0,1,0,Intel Core i5,NVIDIA,8 GB DDR4,0,2,0,4.5
Netbook,2.3,15.6,1920 x 1080 pixels,141,1,2.5,10,512,ASUS,12253864.5,Windows 10 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,1,4.5
Netbook,2.14,15.6,1920 x 1080 pixels,141,1,2.6,10,256,ASUS,13196614.5,Windows 10 Home,1,0,1,1,0,Intel Core i7,NVIDIA,8 GB DDR4,1,1,2,5.0
Netbook,1.76,15.6,1920 x 1080 pixels,141,1,4.4,12,512,Acer,10934014.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,INTEL,8 GB DDR4,2,3,0,4.4
Netbook,3.11,15.6,1920 x 1080 pixels,141,1,4.5,12,512,Gigabyte,19588459.5,Windows 11 Home,2,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,2,1,1,4.5
